,Rank,ROC-AUC,Average Precision,F1-Score,Precision,Recall
XGBoost,1,0.9212709074936365,0.6482788738277064,0.5570548059303682,0.8941176470588236,0.4045487539317687
Gradient Boosting,2,0.9007405298289007,0.622467022323494,0.5571356867993977,0.9029284164859002,0.402855068957174
Random Forest,3,0.8716628931629378,0.4815273611837439,0.2588931945835329,0.15785281936922588,0.719332204210017
AdaBoost,4,0.8411183659869972,0.3405239080487905,0.03697558663190329,0.9069767441860465,0.018872489716912653
