,Rank,ROC-AUC,Average Precision,F1-Score,Precision,Recall
XGBoost,1,0.9209930397736547,0.648351123071812,0.5643580800531474,0.8998940677966102,0.4110815388337769
Gradient Boosting,2,0.9007391637570415,0.6237658477993095,0.5550897199396277,0.9043715846994536,0.4004355189934672
Random Forest,3,0.8732421667003585,0.48571334555671714,0.2615618881879487,0.15945257797581158,0.7273167190902492
AdaBoost,4,0.8411183659869972,0.3405239080487905,0.03697558663190329,0.9069767441860465,0.018872489716912653
